Country,Land area (km²),Government type,"Birth rate (per 1,000 population)",Unemployment rate (%),Literacy rate (%),CO₂ emissions (Mt),CO₂ emissions (Mt) (log scale),GDP (USD billions),GDP (USD billions) (log scale),GDP per capita (USD),"Infant mortality rate (per 1,000 live births)",Median age (years),Total fertility rate (children/woman),GDP growth rate (%),Government debt (% of GDP),Carbon intensity (t/USD),Carbon intensity (t/USD) (log scale),CO₂ per capita (t/person),CO₂ per capita (t/person) (log scale),Population density (people/km²),Trade openness (% of GDP),Internet users (%)
SAUDI ARABIA,2149690.0,Monarchy,13.9,7.36,97.6,579000000.0,8.762678563727436,792.85,2.899191030528443,44300.0,12.0,32.0,1.89,3.24,17.2,730.2768493409851,2.8634875332001357,16110270.600792892,7.207102835232636,16.718599425963745,63.003090117928984,100.16748560078483
SENEGAL,192530.0,Republic,30.8,6.34,56.3,2.0,0.30102999588112844,13.55,1.1319392952424758,2600.0,31.8,19.0,4.17,3.9,37.9,0.00014760147601476016,-3.8309063572114725,0.10878634687832138,-0.9634256029202627,95.4898457383265,115.27675276752767,26.65265498518874
SERBIA,77474.0,Republic,8.9,11.81,99.5,47.0,1.6720978579449577,51.45,1.711385379106893,19800.0,4.6,43.7,1.46,7.55,62.5,0.000913508260447036,-3.0392870457491585,7.021868638765944,0.8464527007262556,86.39511319926685,141.43828960155489,83.50047621715501
SEYCHELLES,455.0,Republic,12.1,3.0,95.9,1.0,4.3429451761979113e-10,1.75,0.24303804893446274,28800.0,10.4,38.2,1.81,7.86,63.6,0.0005714285714285715,-3.2430372886716703,10.244117315631499,1.010474543407672,214.54285714285714,204.0,92.40193818699612
SIERRA LEONE,71620.0,Republic,31.5,5.33,47.7,899000.0,5.95375969173323,4.13,0.615950051761557,1600.0,72.3,19.2,3.71,4.1,63.9,217.67554479418885,2.337809640078823,100920.06771410994,5.003977533243227,124.37922368053616,17007.021791767555,11.759028922187149
SINGAPORE,709.2,Republic,8.9,3.62,97.5,238.0,2.3765769570583366,372.09,2.5706479984205046,106000.0,1.5,38.9,1.17,7.61,153.41,0.0006396301969953506,-3.194070362385938,39.83008285828708,1.6002112098814274,8425.525944726453,360.9503077212502,89.85198103619467
SLOVAKIA,48105.0,Republic,10.3,6.74,,32.0,1.5051499783334776,105.39,2.022799404515809,31900.0,5.3,42.5,1.6,3.01,77.36,0.0003036341208843344,-3.5176479958724536,5.898270682332228,0.7707246993076822,112.78077122960191,203.80491507733183,88.58465281027715
SLOVENIA,20151.0,Republic,8.1,4.42,99.7,13.0,1.113943352340244,54.16,1.7336786556851065,40000.0,1.5,45.9,1.6,8.21,73.6,0.00024002954209748892,-3.619733494036555,6.191095300006191,0.7917674892628733,104.20276909334524,183.3271787296898,89.00890089008901
SOLOMON ISLANDS,27986.0,Democracy,22.3,1.03,,333000.0,5.522444233506321,1.3,0.11394335264090949,2400.0,19.5,24.8,2.82,-0.2,11.46,256.15384615384613,2.4085008812011783,465886.7377575318,5.668280347707933,25.540127206460372,79470.76923076923,35.7599550062538
SOMALIA,627337.0,Republic,37.7,19.86,,882000.0,5.94546858513182,7.05,0.8481891170530007,1100.0,85.1,19.0,5.22,4.05,76.7,125.1063829787234,2.0972794681438924,69482.76150018482,4.841877070576151,20.234413082601538,12956.45390070922,19.418935045119678
SOUTH AFRICA,1214470.0,Republic,18.3,33.56,95.0,470.0,2.6720978579366417,350.03,2.544105267997546,13300.0,24.4,30.1,2.31,4.91,53.0,0.0013427420506813702,-2.872007086622226,8.096701210983978,0.9083081130466059,47.797254769570266,67.33422849470045,73.18039732821263
SOUTH SUDAN,,Republic,37.1,13.91,34.5,1.0,4.3429451761979113e-10,3.06,0.4857214266235063,1600.0,61.6,18.7,5.2,-5.2,62.7,0.000326797385620915,-3.4857200975425187,0.08251928743935141,-1.0834445255873444,,283.9869281045752,7.170926078479638
SPAIN,498980.0,,7.1,5.6,98.6,33000.0,4.5185139398779,167.4,2.2237554536598356,34000.0,2.4,46.3,1.29,7.4,,0.1971326164874552,-0.7052415115762962,698.8177464893779,2.844363925367821,94.63828810773978,16.24850657108722,0.005236897839600702
SRI LANKA,64630.0,Republic,14.6,5.39,92.3,23.0,1.3617278360364753,84.02,1.9243826772071422,13400.0,6.8,33.9,2.14,3.33,79.1,0.0002737443465841466,-3.5626532546907272,0.9860126813234451,-0.00611749902667104,360.9201918613647,37.31254463223043,63.19055183785905
SUDAN,1731671.0,Republic,33.3,19.81,60.7,17.0,1.2304489214038206,24.92,1.3965480380045596,3700.0,41.4,19.1,4.54,-1.87,121.6,0.0006821829855537721,-3.1660984799847536,0.34554562721663706,-0.46149459727872294,28.410451523412934,63.04173354735152,26.92816746685887
SURINAME,156000.0,Republic,15.2,10.06,95.0,2.0,0.30102999588112844,3.42,0.5340261061831217,14800.0,29.9,31.6,1.91,-2.73,69.3,0.0005847953216374269,-3.2329953677492447,3.12617720110229,0.49501359163392006,4.10101923076923,122.22222222222221,62.92994705818909
SWEDEN,410335.0,Monarchy,10.8,8.66,,48.0,1.681241237384635,531.35,2.7253806849156104,54800.0,2.3,41.0,1.67,2.6,44.0,9.033593676484426e-05,-4.044134640016378,4.5556625081693465,0.6585515433626383,25.677405047095665,104.27401900818667,83.52047931643803
SWITZERLAND,39997.0,Republic,10.2,,,,,,,,3.0,44.0,1.59,,,,,,,214.11005825436908,,
SYRIA,185887.0,Republic,22.2,10.57,86.4,26.0,1.4149733479875215,24.6,1.3909351071210334,2900.0,15.5,23.9,2.74,-3.87,94.8,0.001056910569105691,-2.9759613482233984,1.1337111585651594,0.05450242158923575,123.37350648512268,33.048780487804876,37.0307912898367
TAJIKISTAN,141510.0,Republic,26.4,7.75,99.8,7.0,0.8450980400762989,2.52,0.40140054095388317,3900.0,23.1,22.7,3.6,9.2,50.4,0.002777777777777778,-2.556302344421314,0.757089303117683,-0.12085288932689084,65.33769344922621,254.76190476190476,32.544608512906805
TANZANIA,885800.0,Republic,32.9,2.65,81.8,11.0,1.0413926851977064,60.63,1.7826875682421295,2600.0,30.3,18.9,4.33,4.28,37.0,0.0001814283358073561,-3.741292489331251,0.1675738965083724,-0.7757936292077273,74.10553398058252,29.242949035131122,31.199212731740605
THAILAND,510890.0,Monarchy,10.0,1.42,94.1,305.0,2.4842998393482096,543.8,2.73543920325228,17100.0,6.4,41.0,1.54,1.53,50.4,0.000560867966164031,-3.2511385895797074,4.369940727986563,0.640475546524509,136.6145295464777,108.82309672673777,87.68536805009104
TIMOR-LESTE,14874.0,Republic,30.4,5.07,68.1,538000.0,5.73078227566639,2.77,0.44247976922123355,5000.0,32.9,20.3,4.09,5.29,3.8,194.22382671480145,2.2883025066041767,364488.27336891496,5.561683560382127,99.23638563937071,138.26714801444044,34.348616096289945
TOGO,54385.0,Republic,31.4,4.0,66.5,2.0,0.30102999588112844,5.23,0.7185016889503134,2100.0,39.8,20.5,4.18,5.26,75.7,0.0003824091778202677,-3.417470557524785,0.22978044134159148,-0.6386869388530766,160.0434127057093,78.58508604206502,34.581956421909524
TONGA,717.0,Monarchy,20.0,3.97,99.4,171000.0,5.232996110392157,455.0,2.658011396658067,6100.0,12.1,25.4,2.7,-2.67,49.41,0.3758241758241758,-0.42501528510937964,1625150.8729246063,6.210893685460778,146.75174337517433,75.6967032967033,70.04305224242309
TRINIDAD AND TOBAGO,5128.0,Republic,10.6,4.8,99.0,39.0,1.5910646070376349,24.03,1.380753770821973,23000.0,15.4,38.0,1.63,-1.03,41.8,0.0016229712858926342,-2.789688896185277,27.70949085586802,1.4426285459885055,274.4656786271451,83.47898460258011,84.19422221590666
